Timestamp (UTC),Station,Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Wind Speed (m/s),Wind Direction,Pressure (hPa),Radiation (W/m²)
2026-05-05T14:00,Guimarães,15.5,67,,,,Calm,1016.4,
2026-05-05T15:00,Guimarães,13.3,85,,,,Calm,1016.7,
2026-05-05T16:00,Guimarães,15.1,76,,,,Calm,1016,1138
2026-05-05T17:00,Guimarães,15.7,68,,,,Calm,1015.9,
2026-05-05T18:00,Guimarães,16.2,64,,,,Calm,1015.7,936.7
2026-05-05T19:00,Guimarães,15.1,65,,,,Calm,1015.9,407
2026-05-05T20:00,Guimarães,13.8,71,,,,Calm,1016.2,44.2
2026-05-05T21:00,Guimarães,11.4,84,,,,Calm,1017.1,
2026-05-05T22:00,Guimarães,11.6,83,,,,Calm,1017.3,0
2026-05-05T23:00,Guimarães,10.8,86,,,,Calm,1017.2,0
2026-05-06T00:00,Guimarães,9.7,90,,,,Calm,1017.3,0
2026-05-06T01:00,Guimarães,9.8,90,,,,Calm,1016.9,0
2026-05-06T02:00,Guimarães,9.5,90,,,,Calm,1016.4,0
2026-05-06T09:00,Guimarães,13.3,78,,,,Calm,1015.4,
2026-05-06T10:00,Guimarães,15.6,66,,,,Calm,1015,2622.5
2026-05-06T11:00,Guimarães,17.2,55,,,,Calm,1014.6,
2026-05-06T12:00,Guimarães,18.3,49,,,,Calm,1014.1,
2026-05-06T13:00,Guimarães,19.1,47,,,,Calm,1013.4,
2026-05-06T14:00,Guimarães,18.3,48,,,,Calm,1012.9,1522.8
2026-05-06T15:00,Guimarães,19.8,47,,,,Calm,1012.1,2562.7
2026-05-06T16:00,Guimarães,18.5,51,,,,Calm,1011.5,717.2
2026-05-06T17:00,Guimarães,18.1,54,,,,Calm,1011.2,
2026-05-06T18:00,Guimarães,17.2,66,,,,Calm,1011.2,752.2
2026-05-06T19:00,Guimarães,16.9,63,,,,Calm,1011.2,
2026-05-06T20:00,Guimarães,13.3,76,,,,Calm,1011.6,29.8
2026-05-06T21:00,Guimarães,11.3,85,,,,Calm,1012,
2026-05-06T22:00,Guimarães,10.6,87,,,,Calm,1012,0
2026-05-06T23:00,Guimarães,10,89,,,,Calm,1011.9,0
2026-05-07T00:00,Guimarães,9.5,90,,,,Calm,1011.8,0
2026-05-07T01:00,Guimarães,9.1,91,,,,Calm,1011.6,0
2026-05-07T02:00,Guimarães,9,91,,,,Calm,1011.3,
2026-05-07T03:00,Guimarães,8.3,91,,,,Calm,1011,
2026-05-07T09:00,Guimarães,14.5,74,,,,Calm,1010,
2026-05-07T10:00,Guimarães,17.4,62,,,,Calm,1009.8,2546.6
2026-05-07T11:00,Guimarães,18.5,61,,,,Calm,1009.8,
2026-05-07T12:00,Guimarães,18.1,64,,,,Calm,1009.9,
2026-05-07T13:00,Guimarães,18.5,61,,,,Calm,1009.7,2575.6
2026-05-07T14:00,Guimarães,19,57,,,,Calm,1009.4,
2026-05-07T15:00,Guimarães,19.6,53,,,,Calm,1009,2993.8
2026-05-07T16:00,Guimarães,19.4,53,,,,Calm,1008.8,2433.1
2026-05-07T17:00,Guimarães,18.3,55,,,,Calm,1009.1,1737.7
2026-05-07T18:00,Guimarães,17.2,59,,,,Calm,1009.4,991
2026-05-07T19:00,Guimarães,15.2,67,,,,Calm,1009.7,271.7
2026-05-07T20:00,Guimarães,13.6,74,,,,Calm,1010.5,32.3
2026-05-07T21:00,Guimarães,12.1,82,,,,Calm,1011.3,0
2026-05-07T22:00,Guimarães,11.2,87,,,,Calm,1011.5,0
